       [Log] 11:57, INFO, Booting capsis.app.CapsisExtensionManager
       [Log] 11:57, INFO, extension extensionSettings file name = /home/ethan/Desktop/standfire-master/apps/STANDFIRE_v1.1/bin/capsis/etc/extension.settings
       [Log] 11:57, INFO, declaring type: ObjectViewer
       [Log] 11:57, INFO, declaring type: Export
       [Log] 11:57, INFO, declaring type: Import
       [Log] 11:57, INFO, declaring type: ItemChooser
       [Log] 11:57, INFO, declaring type: ItemPattern
       [Log] 11:57, INFO, declaring type: Sketcher
       [Log] 11:57, INFO, declaring type: ItemEditor
       [Log] 11:57, INFO, reading: jeeb.lib.sketch.extension.objectviewer.SelectionTable enabled
       [Log] 11:57, INFO, reading: jeeb.lib.sketch.extension.sketcher.BoundingBoxSketcher enabled
       [Log] 11:57, INFO, reading: jeeb.lib.sketch.scene.extension.sketcher.ContourSketcher enabled
       [Log] 11:57, INFO, reading: jeeb.lib.sketch.scene.extension.itempattern.RandomPattern enabled
       [Log] 11:57, INFO, reading: jeeb.lib.sketch.scene.extension.sketcher.TreeWithCrownProfileSketcher enabled
       [Log] 11:57, INFO, reading: jeeb.lib.sketch.scene.extension.itempattern.ClickPattern enabled
       [Log] 11:57, INFO, reading: jeeb.lib.sketch.scene.extension.sketcher.DTMSketcher enabled
       [Log] 11:57, INFO, reading: jeeb.lib.sketch.extension.objectviewer.InspectorViewer enabled
       [Log] 11:57, INFO, reading: jeeb.lib.sketch.extension.editor.ItemEditor enabled
       [Log] 11:57, INFO, reading: jeeb.lib.sketch.scene.extension.sketcher.TreeSketcher enabled
       [Log] 11:57, INFO, reading: jeeb.lib.sketch.extension.objectviewer.GlanceWrapper enabled
       [Log] 11:57, INFO, reading: jeeb.lib.sketch.extension.sketcher.AnchorSketcher enabled
       [Log] 11:57, INFO, reading: jeeb.lib.sketch.extension.sketcher.GridSketcher enabled
       [Log] 11:57, INFO, reading: jeeb.lib.sketch.scene.extension.editor.LineEditor enabled
       [Log] 11:57, INFO, reading: jeeb.lib.sketch.scene.extension.itemchooser.FileChooser enabled
       [Log] 11:57, INFO, reading: jeeb.lib.sketch.extension.sketcher.MeshItemSketcher enabled
